4	,	18	,	-1.46055e+01	,	7.39200e+00	,	4.48831e+00	,	1.45000e-04	,	0.00000000e+00	,	1
12	,	18	,	-1.97466e+01	,	3.69600e+00	,	-6.48600e+00	,	1.60000e-04	,	0.00000000e+00	,	1
11	,	19	,	-1.97466e+01	,	3.69600e+00	,	-6.48600e+00	,	2.82000e-04	,	0.00000000e+00	,	1
14	,	19	,	-1.97466e+01	,	3.69600e+00	,	-6.48600e+00	,	-3.64000e-04	,	0.00000000e+00	,	1
15	,	19	,	-1.97466e+01	,	3.69600e+00	,	-6.48600e+00	,	2.32000e-04	,	0.00000000e+00	,	1
3	,	16	,	-4.86850e+00	,	-1.47840e+01	,	4.48831e+00	,	1.32000e-04	,	0.00000000e+00	,	1
7	,	17	,	-5.14114e+00	,	-1.84800e+01	,	-1.99769e+00	,	1.11000e-04	,	0.00000000e+00	,	1
9	,	17	,	-5.14114e+00	,	-1.84800e+01	,	-1.99769e+00	,	2.19000e-04	,	0.00000000e+00	,	1
9	,	18	,	-5.14114e+00	,	-1.84800e+01	,	-1.99769e+00	,	1.03000e-04	,	0.00000000e+00	,	1
7	,	19	,	-5.14114e+00	,	-1.84800e+01	,	-1.99769e+00	,	-2.19000e-04	,	0.00000000e+00	,	1
8	,	19	,	-5.14114e+00	,	-1.84800e+01	,	-1.99769e+00	,	-1.03000e-04	,	0.00000000e+00	,	1
10	,	20	,	-5.14114e+00	,	-1.84800e+01	,	-1.99769e+00	,	-1.10000e-04	,	0.00000000e+00	,	1
6	,	11	,	-4.86850e+00	,	-1.47840e+01	,	1.74603e+01	,	1.65000e-04	,	0.00000000e+00	,	1
6	,	14	,	-4.86850e+00	,	-1.47840e+01	,	1.74603e+01	,	2.64000e-04	,	0.00000000e+00	,	1
7	,	14	,	-4.86850e+00	,	-1.47840e+01	,	1.74603e+01	,	1.40000e-04	,	0.00000000e+00	,	1
8	,	14	,	-4.86850e+00	,	-1.47840e+01	,	1.74603e+01	,	1.44000e-04	,	0.00000000e+00	,	1
9	,	16	,	-5.14114e+00	,	-1.10880e+01	,	-1.49697e+01	,	1.12000e-04	,	0.00000000e+00	,	1
12	,	16	,	-1.00096e+01	,	-1.10880e+01	,	-1.94580e+01	,	-1.84000e-04	,	0.00000000e+00	,	1
1	,	17	,	-4.86850e+00	,	-7.39200e+00	,	-8.48369e+00	,	-1.30000e-04	,	0.00000000e+00	,	1
12	,	17	,	-1.00096e+01	,	-1.10880e+01	,	-1.94580e+01	,	-1.05000e-04	,	0.00000000e+00	,	1
13	,	17	,	-1.00096e+01	,	-1.10880e+01	,	-1.94580e+01	,	-2.62000e-04	,	0.00000000e+00	,	1
14	,	17	,	-1.00096e+01	,	-1.10880e+01	,	-1.94580e+01	,	-1.19000e-04	,	0.00000000e+00	,	1
15	,	17	,	-1.00096e+01	,	-1.10880e+01	,	-1.94580e+01	,	1.11000e-04	,	0.00000000e+00	,	1
11	,	18	,	-1.00096e+01	,	-1.10880e+01	,	-1.94580e+01	,	1.35000e-04	,	0.00000000e+00	,	1
13	,	18	,	-1.00096e+01	,	-1.10880e+01	,	-1.94580e+01	,	-1.07000e-04	,	0.00000000e+00	,	1
1	,	19	,	-4.86850e+00	,	-7.39200e+00	,	-8.48369e+00	,	1.05000e-04	,	0.00000000e+00	,	1
2	,	19	,	-4.86850e+00	,	-7.39200e+00	,	-8.48369e+00	,	1.03000e-04	,	0.00000000e+00	,	1
6	,	19	,	-5.14114e+00	,	-1.10880e+01	,	-1.49697e+01	,	1.12000e-04	,	0.00000000e+00	,	1
9	,	19	,	-5.14114e+00	,	-1.10880e+01	,	-1.49697e+01	,	-1.49000e-04	,	0.00000000e+00	,	1
12	,	19	,	-1.00096e+01	,	-1.10880e+01	,	-1.94580e+01	,	1.01000e-04	,	0.00000000e+00	,	1
4	,	20	,	-4.86850e+00	,	-7.39200e+00	,	-8.48369e+00	,	-1.60000e-04	,	0.00000000e+00	,	1
12	,	20	,	-1.00096e+01	,	-1.10880e+01	,	-1.94580e+01	,	-2.19000e-04	,	0.00000000e+00	,	1
1	,	2	,	-9.73700e+00	,	-7.39200e+00	,	0.00000e+00	,	5.29000e-04	,	0.00000000e+00	,	1
1	,	3	,	-9.73700e+00	,	-7.39200e+00	,	0.00000e+00	,	2.46000e-04	,	0.00000000e+00	,	1
1	,	4	,	-9.73700e+00	,	-7.39200e+00	,	0.00000e+00	,	1.88000e-04	,	0.00000000e+00	,	1
3	,	4	,	-9.73700e+00	,	-7.39200e+00	,	0.00000e+00	,	6.49000e-04	,	0.00000000e+00	,	1
4	,	4	,	-9.73700e+00	,	-7.39200e+00	,	0.00000e+00	,	3.53000e-04	,	0.00000000e+00	,	1
1	,	5	,	-9.73700e+00	,	-7.39200e+00	,	0.00000e+00	,	1.73000e-04	,	0.00000000e+00	,	1
4	,	5	,	-9.73700e+00	,	-7.39200e+00	,	0.00000e+00	,	3.63000e-04	,	0.00000000e+00	,	1
6	,	8	,	-9.73700e+00	,	-7.39200e+00	,	0.00000e+00	,	4.89000e-04	,	0.00000000e+00	,	1
7	,	8	,	-9.73700e+00	,	-7.39200e+00	,	0.00000e+00	,	8.10000e-04	,	0.00000000e+00	,	1
6	,	9	,	-9.73700e+00	,	-7.39200e+00	,	0.00000e+00	,	3.09000e-04	,	0.00000000e+00	,	1
7	,	9	,	-9.73700e+00	,	-7.39200e+00	,	0.00000e+00	,	9.77000e-04	,	0.00000000e+00	,	1
8	,	9	,	-9.73700e+00	,	-7.39200e+00	,	0.00000e+00	,	4.84000e-04	,	0.00000000e+00	,	1
9	,	9	,	-9.73700e+00	,	-7.39200e+00	,	0.00000e+00	,	3.54000e-04	,	0.00000000e+00	,	1
6	,	10	,	-9.73700e+00	,	-7.39200e+00	,	0.00000e+00	,	-4.02000e-04	,	0.00000000e+00	,	1
